Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Firearm Used Flag
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,6,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,2,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,5,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,3,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,4,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150055631,08/08/2015 12:00:00 AM,8:12,08/08/2015 12:00:00 AM,2:23,08/08/2015 12:00:00 AM,2:40,502,220,Burglary - Non Resid,111,200  W 5 ST,KANSAS CITY,64105,PJ0522,CPD,U,1,SUS,W,M,,"200 W 5 ST
KANSAS CITY 64105
(39.1083, -94.5859)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,1,SUS,B,F,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150045680,07/03/2015 12:00:00 AM,7:31,07/02/2015 12:00:00 AM,23:00,07/03/2015 12:00:00 AM,6:30,702,240,Auto Theft,111,400  DELAWARE ST,KANSAS CITY,64105,PJ0493,CPD,U,1,VIC,W,M,19,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150009746,02/09/2015 12:00:00 AM,16:52,02/09/2015 12:00:00 AM,5:00,02/09/2015 12:00:00 AM,16:30,501,220,Burglary - Residence,111,0  W 3 ST ,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150015207,03/05/2015 12:00:00 AM,6:48,03/04/2015 12:00:00 AM,16:30,03/05/2015 12:00:00 AM,6:15,702,240,Auto Theft,111,0  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150050446,07/20/2015 12:00:00 AM,16:27,07/19/2015 12:00:00 AM,19:00,07/20/2015 12:00:00 AM,15:00,702,240,Auto Theft,111,0  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,U,F,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150014452,03/02/2015 12:00:00 AM,1:10,03/01/2015 12:00:00 AM,22:00,03/02/2015 12:00:00 AM,0:30,702,240,Auto Theft,111,500  E 3 ST,KANSAS CITY,64131,PJ0357,CPD,U,1,VIC,W,M,22,"500 E 3 ST
KANSAS CITY 64131
(39.1109, -94.5785)",N
150064541,09/10/2015 12:00:00 AM,9:08,09/08/2015 12:00:00 AM,14:00,09/08/2015 12:00:00 AM,21:00,650,23G,Stealing Auto Parts/,111,400  E 5 ST,KANSAS CITY,64111,PJ0465,CPD,U,1,VIC,W,M,22,"400 E 5 ST
KANSAS CITY 64111
(39.1091, -94.5791)",N
150014479,03/02/2015 12:00:00 AM,8:10,02/28/2015 12:00:00 AM,12:00,03/02/2015 12:00:00 AM,7:50,702,240,Auto Theft,111,200  W 2 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,22,"200 W 2 ST
KANSAS CITY 64105
(39.1107, -94.5845)",N
150007738,02/02/2015 12:00:00 AM,1:20,02/02/2015 12:00:00 AM,1:00,,,301,120,Strong Arm Robbery,111,0  W 3 ST ,KANSAS CITY,64105,PJ0375,CPD,N,1,VIC,W,F,23,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",Y
150027504,04/24/2015 12:00:00 AM,8:08,04/23/2015 12:00:00 AM,19:00,04/24/2015 12:00:00 AM,7:30,640,23F,Stealing From Auto,111,300  DELAWARE ST,KANSAS CITY,64105,PJ0471,CPD,U,1,VIC,W,F,23,"300 DELAWARE ST
KANSAS CITY 64105
(39.1092, -94.5848)",N
150057134,08/13/2015 12:00:00 AM,22:05,08/12/2015 12:00:00 AM,21:00,08/13/2015 12:00:00 AM,8:00,650,23G,Stealing Auto Parts/,111,400  WASHINGTON ST,KANSAS CITY,99999,PJ0535,CPD,U,1,VIC,W,F,23,"400 WASHINGTON ST
KANSAS CITY 99999
(39.1083, -94.5897)",N
150034661,05/22/2015 12:00:00 AM,12:17,05/20/2015 12:00:00 AM,18:00,05/20/2015 12:00:00 AM,20:00,702,240,Auto Theft,111,300  MAIN ST,KANSAS CITY,64105,PJ0469,CPD,U,1,VIC,W,F,23,"300 MAIN ST
KANSAS CITY 64105
(39.1095, -94.5836)",N
150010699,02/13/2015 12:00:00 AM,19:40,02/08/2015 12:00:00 AM,12:00,02/12/2015 12:00:00 AM,7:00,670,23D,Stealing from Buildi,111,0  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,24,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150035823,05/27/2015 12:00:00 AM,8:55,05/27/2015 12:00:00 AM,3:00,05/27/2015 12:00:00 AM,3:30,702,240,Auto Theft,111,200  BROADWAY,KANSAS CITY,64105,PJ0488,CPD,U,1,VIC,W,M,24,"200 BROADWAY
KANSAS CITY 64105
(39.1093, -94.5885)",N
150003877,01/17/2015 12:00:00 AM,12:07,01/16/2015 12:00:00 AM,21:00,01/17/2015 12:00:00 AM,8:00,640,23F,Stealing From Auto,111,200  WALNUT ST,KANSAS CITY,64106,PJ0399,CPD,U,1,VIC,A,M,25,"200 WALNUT ST
KANSAS CITY 64106
(39.111, -94.5825)",N
150036027,05/27/2015 12:00:00 AM,19:44,05/27/2015 12:00:00 AM,18:10,,,702,240,Auto Theft,111,200  DELAWARE ST ,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,25,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150002745,01/12/2015 12:00:00 AM,19:22,01/12/2015 12:00:00 AM,19:22,,,501,220,Burglary - Residence,111,200  W 2 ST ,KANSAS CITY,64106,PJ0375,CPD,U,1,VIC,W,M,25,"200 W 2 ST
KANSAS CITY 64106
(39.1107, -94.5845)",N
150055124,08/06/2015 12:00:00 AM,13:07,08/04/2015 12:00:00 AM,14:00,08/06/2015 12:00:00 AM,10:00,1401,290,Property Damage,111,300  DELAWARE ST,KANSAS CITY,64105,PJ0471,CPD,U,1,VIC,W,M,25,"300 DELAWARE ST
KANSAS CITY 64105
(39.1092, -94.5848)",N
150016369,03/09/2015 12:00:00 AM,17:02,03/09/2015 12:00:00 AM,17:00,,,640,23F,Stealing From Auto,111,300  WYANDOTTE ST,KANSAS CITY,64106,PJ0487,CPD,U,1,SUS,W,M,25,"300 WYANDOTTE ST
KANSAS CITY 64106
(39.1093, -94.5858)",N
150031436,05/09/2015 12:00:00 AM,11:13,05/08/2015 12:00:00 AM,19:30,05/09/2015 12:00:00 AM,10:00,640,23F,Stealing From Auto,111,300  DELAWARE ST,KANSAS CITY,64105,PJ0471,CPD,U,1,VIC,W,M,25,"300 DELAWARE ST
KANSAS CITY 64105
(39.1092, -94.5848)",N
150045949,07/04/2015 12:00:00 AM,6:19,07/03/2015 12:00:00 AM,23:00,07/04/2015 12:00:00 AM,6:00,640,23F,Stealing From Auto,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0549,CPD,U,1,VIC,W,M,25,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150006855,01/29/2015 12:00:00 AM,10:09,01/28/2015 12:00:00 AM,23:00,01/29/2015 12:00:00 AM,7:50,702,240,Auto Theft,111,300  DELAWARE ST,KANSAS CITY,64105,PJ0458,CPD,U,1,VIC,W,M,26,"300 DELAWARE ST
KANSAS CITY 64105
(39.1092, -94.5848)",N
150045807,07/03/2015 12:00:00 AM,16:53,06/24/2015 12:00:00 AM,9:30,07/03/2015 12:00:00 AM,14:50,702,240,Auto Theft,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0556,CPD,U,1,VIC,W,M,26,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150018611,03/18/2015 12:00:00 AM,17:53,03/18/2015 12:00:00 AM,13:30,03/18/2015 12:00:00 AM,17:00,640,23F,Stealing From Auto,111,400  E 4 ST,KANSAS CITY,64108,PJ0402,CPD,U,1,VIC,B,F,26,"400 E 4 ST
KANSAS CITY 64108
(39.1101, -94.5788)",N
150068906,09/25/2015 12:00:00 AM,15:55,09/23/2015 12:00:00 AM,20:00,09/24/2015 12:00:00 AM,12:00,650,23G,Stealing Auto Parts/,111,500  E 3 ST,KANSAS CITY,99999,PJ0357,CPD,U,1,VIC,W,F,26,"500 E 3 ST
KANSAS CITY 99999
(39.1109, -94.5785)",N
150071769,10/06/2015 12:00:00 AM,10:15,10/06/2015 12:00:00 AM,9:00,,,690,23H,Stealing All Other,111,00  W 3 ST,KANSAS CITY,64106,PJ0458,CPD,U,1,VIC,W,F,27,"00 W 3 ST
KANSAS CITY 64106
(39.1094, -94.5859)",N
150089966,12/14/2015 12:00:00 AM,9:30,12/12/2015 12:00:00 AM,17:00,12/13/2015 12:00:00 AM,1:00,702,240,Auto Theft,111,500  WALNUT ST,KANSAS CITY,99999,PJ0513,CPD,U,1,VIC,W,F,27,"500 WALNUT ST
KANSAS CITY 99999
(39.1085, -94.5816)",N
150018750,03/19/2015 12:00:00 AM,11:24,03/18/2015 12:00:00 AM,19:45,03/19/2015 12:00:00 AM,11:00,1401,290,Property Damage,111,500  E 3 ST,KANSAS CITY,64110,PJ0357,CPD,U,1,VIC,W,F,27,"500 E 3 ST
KANSAS CITY 64110
(39.1109, -94.5785)",N
150017551,03/14/2015 12:00:00 AM,7:38,03/13/2015 12:00:00 AM,23:30,03/14/2015 12:00:00 AM,7:25,1401,290,Property Damage,111,200  DELAWARE ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,27,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150026539,04/20/2015 12:00:00 AM,13:52,04/19/2015 12:00:00 AM,11:00,04/20/2015 12:00:00 AM,11:00,650,23G,Stealing Auto Parts/,111,200  WALNUT ST,KANSAS CITY,64106,PJ0399,CPD,U,1,VIC,W,F,27,"200 WALNUT ST
KANSAS CITY 64106
(39.111, -94.5825)",N
150033294,05/16/2015 12:00:00 AM,19:16,05/16/2015 12:00:00 AM,5:00,05/16/2015 12:00:00 AM,13:00,702,240,Auto Theft,111,400  DELAWARE ST,KANSAS CITY,64105,PJ0493,CPD,U,1,VIC,U,M,27,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150044664,06/29/2015 12:00:00 AM,11:42,06/28/2015 12:00:00 AM,23:00,06/29/2015 12:00:00 AM,10:30,702,240,Auto Theft,111,200  DELAWARE ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,28,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150091432,12/19/2015 12:00:00 AM,18:42,12/18/2015 12:00:00 AM,18:00,12/19/2015 12:00:00 AM,17:00,702,240,Auto Theft,110,200  W 4 ST,KANSAS CITY,64105,PJ0487,CPD,U,1,VIC,W,F,28,"200 W 4 ST
KANSAS CITY 64105
(39.1088, -94.5857)",N
150090955,12/17/2015 12:00:00 AM,19:37,12/17/2015 12:00:00 AM,18:00,12/17/2015 12:00:00 AM,18:15,702,240,Auto Theft,111,300  DELAWARE ST,KANSAS CITY,64105,PJ0471,CPD,U,1,VIC,B,M,28,"300 DELAWARE ST
KANSAS CITY 64105
(39.1092, -94.5848)",N
150030057,05/04/2015 12:00:00 AM,13:55,04/24/2015 12:00:00 AM,9:36,,,1122,26B,Credit/Debit/ATM Car,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0556,CPD,N,1,VIC,W,F,28,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150088300,12/08/2015 12:00:00 AM,0:13,12/07/2015 12:00:00 AM,12:10,,,302,120,Armed Robbery,114,400  E MISSOURI AV,KANSAS CITY,64106,PJ0560,CPD,U,1,VIC,W,M,28,"400 E MISSOURI AV
KANSAS CITY 64106
(39.1081, -94.5788)",Y
150083020,11/17/2015 12:00:00 AM,7:39,11/16/2015 12:00:00 AM,18:00,11/17/2015 12:00:00 AM,7:20,502,220,Burglary - Non Resid,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0549,CPD,U,1,VIC,W,F,29,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150083020,11/17/2015 12:00:00 AM,7:39,11/16/2015 12:00:00 AM,18:00,11/17/2015 12:00:00 AM,7:20,1401,290,Property Damage,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0549,CPD,U,1,VIC,W,F,29,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150044045,06/26/2015 12:00:00 AM,22:31,06/21/2015 12:00:00 AM,17:00,06/26/2015 12:00:00 AM,16:15,702,240,Auto Theft,111,400  DELAWARE ST,KANSAS CITY,64105,PJ0499,CPD,U,1,VIC,W,M,30,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150090037,12/14/2015 12:00:00 AM,13:11,12/13/2015 12:00:00 AM,18:00,12/14/2015 12:00:00 AM,9:00,640,23F,Stealing From Auto,111,500  LOCUST LN,KANSAS CITY,64106,PJ0492,CPD,U,1,VIC,W,M,30,"500 LOCUST LN
KANSAS CITY 64106
(39.1092, -94.578)",N
150063900,09/08/2015 12:00:00 AM,7:10,09/07/2015 12:00:00 AM,22:00,09/08/2015 12:00:00 AM,6:45,702,240,Auto Theft,111,200  WALNUT ST,KANSAS CITY,64106,PJ0399,CPD,U,1,VIC,W,M,30,"200 WALNUT ST
KANSAS CITY 64106
(39.111, -94.5825)",N
150055457,08/07/2015 12:00:00 AM,17:28,08/01/2015 12:00:00 AM,20:00,08/07/2015 12:00:00 AM,14:00,702,240,Auto Theft,122,400  DELAWARE ST,KANSAS CITY,64105,PJ0499,CPD,U,1,VIC,W,M,30,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150043382,06/24/2015 12:00:00 AM,15:11,06/19/2015 12:00:00 AM,1:10,06/20/2015 12:00:00 AM,16:00,650,23G,Stealing Auto Parts/,111,200  WYANDOTTE ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,31,"200 WYANDOTTE ST
KANSAS CITY 64105
(39.1099, -94.5865)",N
150035410,05/25/2015 12:00:00 AM,16:43,05/24/2015 12:00:00 AM,2:00,05/24/2015 12:00:00 AM,9:00,640,23F,Stealing From Auto,111,400  WASHINGTON ST,KANSAS CITY,64109,PJ0535,CPD,U,1,VIC,W,F,32,"400 WASHINGTON ST
KANSAS CITY 64109
(39.1083, -94.5897)",N
150064609,09/10/2015 12:00:00 AM,13:25,08/27/2015 12:00:00 AM,18:00,09/10/2015 12:00:00 AM,10:00,650,23G,Stealing Auto Parts/,111,200  DELAWARE ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,32,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150023427,04/07/2015 12:00:00 AM,17:17,04/06/2015 12:00:00 AM,15:00,04/07/2015 12:00:00 AM,10:00,702,240,Auto Theft,111,400  WASHINGTON ST,KANSAS CITY,64105,PJ0535,CPD,U,1,VIC,W,M,32,"400 WASHINGTON ST
KANSAS CITY 64105
(39.1083, -94.5897)",N
150088793,12/09/2015 12:00:00 AM,16:33,12/09/2015 12:00:00 AM,15:00,12/09/2015 12:00:00 AM,15:10,640,23F,Stealing From Auto,111,100  E 3 ST,KANSAS CITY,64108,PJ0391,CPD,U,1,VIC,W,M,32,"100 E 3 ST
KANSAS CITY 64108
(39.1101, -94.5821)",N
150067793,09/21/2015 12:00:00 AM,18:37,09/11/2015 12:00:00 AM,16:00,09/12/2015 12:00:00 AM,7:00,690,23H,Stealing All Other,111,500  LOCUST LN,KANSAS CITY,64106,PJ0492,CPD,U,1,VIC,W,M,32,"500 LOCUST LN
KANSAS CITY 64106
(39.1092, -94.578)",N
150026383,04/19/2015 12:00:00 AM,20:11,04/19/2015 12:00:00 AM,20:11,,,702,240,Auto Theft,111,3RD ST and LOCUST ST,KANSAS CITY,64106,PJ0357,CPD,U,1,VIC,W,M,33,"3RD ST
KANSAS CITY 64106
(39.1108, -94.5786)",N
150025512,04/16/2015 12:00:00 AM,10:38,04/13/2015 12:00:00 AM,4:00,04/14/2015 12:00:00 AM,12:00,650,23G,Stealing Auto Parts/,111,200  WALNUT ST,KANSAS CITY,64106,PJ0391,CPD,U,1,VIC,W,F,33,"200 WALNUT ST
KANSAS CITY 64106
(39.111, -94.5825)",N
150021686,03/31/2015 12:00:00 AM,17:49,03/29/2015 12:00:00 AM,9:00,03/29/2015 12:00:00 AM,15:00,702,240,Auto Theft,111,400  DELAWARE ST,KANSAS CITY,64101,PJ0499,CPD,U,1,VIC,W,M,33,"400 DELAWARE ST
KANSAS CITY 64101
(39.1083, -94.5842)",N
150063263,09/05/2015 12:00:00 AM,12:46,09/03/2015 12:00:00 AM,22:00,09/05/2015 12:00:00 AM,4:00,702,240,Auto Theft,111,200  WALNUT ST,KANSAS CITY,64105,PJ0391,CPD,U,1,VIC,W,M,33,"200 WALNUT ST
KANSAS CITY 64105
(39.111, -94.5825)",N
150016369,03/09/2015 12:00:00 AM,17:02,03/09/2015 12:00:00 AM,17:00,,,640,23F,Stealing From Auto,111,300  WYANDOTTE ST,KANSAS CITY,64106,PJ0487,CPD,U,1,VIC,W,M,33,"300 WYANDOTTE ST
KANSAS CITY 64106
(39.1093, -94.5858)",N
150060779,08/27/2015 12:00:00 AM,10:55,08/13/2015 12:00:00 AM,12:00,08/27/2015 12:00:00 AM,3:00,650,23G,Stealing Auto Parts/,111,500  E 3 ST,KANSAS CITY,99999,PJ0357,CPD,U,1,VIC,W,F,34,"500 E 3 ST
KANSAS CITY 99999
(39.1109, -94.5785)",N
150009626,02/09/2015 12:00:00 AM,10:55,02/06/2015 12:00:00 AM,21:00,02/06/2015 12:00:00 AM,23:30,702,240,Auto Theft,111,200  W 5 ST,KANSAS CITY,99999,PJ0522,CPD,U,1,VIC,W,M,34,"200 W 5 ST
KANSAS CITY 99999
(39.1078, -94.5854)",N
150080431,11/07/2015 12:00:00 AM,8:35,11/06/2015 12:00:00 AM,19:00,11/07/2015 12:00:00 AM,8:30,1401,290,Property Damage,112,200  W 2 ST ,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,34,"200 W 2 ST
KANSAS CITY 64105
(39.1107, -94.5845)",N
150070206,09/30/2015 12:00:00 AM,11:06,09/29/2015 12:00:00 AM,9:30,09/30/2015 12:00:00 AM,11:00,650,23G,Stealing Auto Parts/,111,100  E 3 ST,KANSAS CITY,64105,PJ0391,CPD,U,1,VIC,W,M,34,"100 E 3 ST
KANSAS CITY 64105
(39.1096, -94.5847)",N
150035663,05/26/2015 12:00:00 AM,15:21,05/25/2015 12:00:00 AM,14:00,05/25/2015 12:00:00 AM,14:30,670,23D,Stealing from Buildi,111,400  DELAWARE ST,KANSAS CITY,64105,PJ0499,CPD,U,1,VIC,W,F,35,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150040912,06/15/2015 12:00:00 AM,9:48,06/14/2015 12:00:00 AM,2:45,06/14/2015 12:00:00 AM,3:15,502,220,Burglary - Non Resid,111,200  DELAWARE ST,KANSAS CITY,64105,PJ0375,CPD,U,2,SUS,B,M,35,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150087957,12/06/2015 12:00:00 AM,17:14,12/06/2015 12:00:00 AM,13:40,12/06/2015 12:00:00 AM,15:30,1401,290,Property Damage,121,300  CHERRY ST,KANSAS CITY,64105,PJ0386,CPD,U,1,VIC,W,F,35,"300 CHERRY ST
KANSAS CITY 64105
(39.111, -94.5773)",N
150021186,03/29/2015 12:00:00 AM,17:30,03/28/2015 12:00:00 AM,12:00,03/29/2015 12:00:00 AM,17:15,702,240,Auto Theft,111,200  MAIN ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,35,"200 MAIN ST
KANSAS CITY 64105
(39.1107, -94.5838)",N
150040912,06/15/2015 12:00:00 AM,9:48,06/14/2015 12:00:00 AM,2:45,06/14/2015 12:00:00 AM,3:15,502,220,Burglary - Non Resid,111,200  DELAWARE ST,KANSAS CITY,64105,PJ0375,CPD,U,1,SUS,B,M,35,"200 DELAWARE ST
KANSAS CITY 64105
(39.1103, -94.5852)",N
150064914,09/11/2015 12:00:00 AM,15:52,09/11/2015 12:00:00 AM,9:30,09/11/2015 12:00:00 AM,15:00,640,23F,Stealing From Auto,111,500  DELAWARE ST,KANSAS CITY,64105,PJ0549,CPD,U,1,VIC,W,M,37,"500 DELAWARE ST
KANSAS CITY 64105
(39.1078, -94.5842)",N
150040024,06/11/2015 12:00:00 AM,22:11,06/08/2015 12:00:00 AM,0:01,06/08/2015 12:00:00 AM,3:00,702,240,Auto Theft,111,300  DELAWARE ST,KANSAS CITY,64101,PJ0458,CPD,U,1,VIC,W,M,37,"300 DELAWARE ST
KANSAS CITY 64101
(39.1095, -94.5846)",N
150008719,02/05/2015 12:00:00 AM,17:28,02/05/2015 12:00:00 AM,16:00,02/05/2015 12:00:00 AM,17:05,640,23F,Stealing From Auto,111,GRAND AV and E MISSOURI AV,KANSAS CITY,64106,PJ0513,CPD,U,1,VIC,W,M,38,"E GRAND AV
KANSAS CITY 64106
(39.1078, -94.5801)",N
150051725,07/24/2015 12:00:00 AM,20:49,07/24/2015 12:00:00 AM,20:30,,,640,23F,Stealing From Auto,111,500  W 4 ST,KANSAS CITY,64105,PJ0532,CPD,U,1,VIC,W,F,38,"500 W 4 ST
KANSAS CITY 64105
(39.1087, -94.5899)",N
150002551,01/12/2015 12:00:00 AM,9:52,10/03/2014 12:00:00 AM,0:01,10/03/2014 12:00:00 AM,23:59,1120,26A,Fraud/Confidence Gam,111,300  E 3 ST,KANSAS CITY,64106,PJ0357,CPD,U,1,VIC,W,M,41,"300 E 3 ST
KANSAS CITY 64106
(39.1105, -94.5804)",N
150051272,07/23/2015 12:00:00 AM,12:15,07/15/2015 12:00:00 AM,23:30,07/16/2015 12:00:00 AM,6:00,640,23F,Stealing From Auto,111,200  W 5 ST,KANSAS CITY,64106,PJ0522,CPD,U,1,VIC,U,M,41,"200 W 5 ST
KANSAS CITY 64106
(39.1088, -94.5804)",N
150062971,09/04/2015 12:00:00 AM,11:57,08/29/2015 12:00:00 AM,18:00,08/31/2015 12:00:00 AM,8:45,650,23G,Stealing Auto Parts/,111,100  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,41,"100 W 3 ST
KANSAS CITY 64105
(39.1096, -94.5847)",N
